"num, RMSE"
0,3.18334736598
3,2.42393892081
6,2.09465033706
9,1.89342289556
12,1.76392672801
15,1.67335361698
18,1.60040505263
21,1.53913574184
24,1.49082535414
27,1.45115069778
30,1.41820211831
33,1.38851543322
36,1.36338780156
39,1.3412227622
42,1.32160815094
45,1.30356741696
48,1.28722813724
51,1.27297772646
54,1.25981034812
57,1.24694644172
60,1.23442058413
63,1.2229276118
66,1.21206732216
69,1.20228905958
72,1.19307158426
75,1.18456229565
78,1.17650669025
81,1.16901759384
84,1.16188300597
87,1.15509361058
90,1.14850321513
93,1.14233639276
96,1.13627262926
99,1.13042956035
102,1.12489719034
105,1.11975694077
108,1.11480257398
111,1.11017055803
114,1.10583357738
117,1.10156403874
120,1.09751531465
123,1.09364853081
126,1.08989045076
129,1.08613048434
132,1.08250572856
135,1.07910438647
138,1.0758767384
141,1.07271761278
144,1.06963941083
147,1.06661775884
150,1.06372271255
153,1.06098384851
156,1.05837460416
159,1.05568421383
162,1.05304067183
165,1.05031857478
168,1.04761184867
171,1.0449063817
174,1.04229461536
177,1.03978740693
180,1.03733116449
183,1.03493275215
186,1.03264054614
189,1.03036425039
192,1.02812174628
195,1.02592589768
198,1.02374816595
