name,score
Arnold Schwarzenegger,3.32844
Finley Jacobsen,3.3149
Jim Caviezel,3.31219
Melissa McCarthy,3.30974
Allison Bills,3.30945
Andrew Garfield,3.30901
Shia LaBeouf,3.30563
Lauri Fraser,3.30281
Max Charles,3.29263
Jared Harris,3.29219
Jack O'Connell,3.28559
Mila Kunis,3.27857
Aziz Ansari,3.27632
Jamie Foxx,3.27625
Min-sik Choi,3.27055
Mark Wahlberg,3.26504
Bill Hader,3.25093
Anna Faris,3.24207
Casey Affleck,3.23783
Zach Gilford,3.22955
Eddie Murphy,3.22904
Daniel Huttlestone,3.22691
Seth Rogen,3.2236
Blake Anderson,3.21982
Sylvester Stallone,3.21504
Bill Murray,3.20875
James Caan,3.20647
James Corden,3.20572
Maggie Gyllenhaal,3.20375
Kevin Kline,3.20167
Michael Caine,3.20112
Dominic Cooper,3.20069
Ashton Kutcher,3.20008
Paul Bettany,3.19938
Elise Vargas,3.19596
Rachel Weisz,3.19271
Larry Guy the Cable,3.19224
Gregorio,3.19224
Paul Rudd,3.19167
Rebecca Hall,3.1843
Nicole Kidman,3.18417
Carmen Ejogo,3.18252
Jason Segel,3.17874
Ray Winstone,3.17531
Dwayne Johnson,3.17218
Nicholas Hoult,3.16861
Michael Douglas,3.16781
Ty Burrell,3.167
Will Ferrell,3.16648
Ed Helms,3.15765
Frank Grillo,3.15323
Jackson Nicoll,3.14986
Zach Galifianakis,3.14749
Joel Kinnaman,3.14454
Ewan McGregor,3.14365
Leslie Mann,3.14259
Buck Taylor,3.14111
Abigail Spencer,3.14062
Aaron Eckhart,3.13693
Rose Byrne,3.13572
CJ Adams,3.13501
Ken Watanabe,3.13035
Aaron Taylor-Johnson,3.12767
Chloe Csengery,3.12733
Eleanor Tomlinson,3.124
Anna Kendrick,3.12169
Jennifer Connelly,3.11625
Russell Crowe,3.10405
Kevin Nealon,3.10042
Aaron Paul,3.09881
Mickey Rourke,3.09135
Rowan Atkinson,3.08611
Nicolas Cage,3.08602
Johnny Knoxville,3.08236
Ko Shibasaki,3.08117
Stephen Dorff,3.07915
Keanu Reeves,3.07808
Rosie Huntington-Whiteley,3.06965
Rob Riggle,3.06609
Ryan Reynolds,3.06367
Josh Duhamel,3.0636
Jay Chou,3.06266
Christopher Nicholas Smith,3.05905
Eric Carte,3.05608
Hiroyuki Sanada,3.04634
Roger Barclay,3.03891
Lauren Bittner,3.0356
Imogen Poots,3.03414
Luke Evans,3.02634
Cameron Diaz,3.02088
Will Rothhaar,3.02016
Damon Wayans Jr.,3.01738
Sarah Gadon,3.01665
Jake Johnson,3.01632
Ramon Rodriguez,3.0147
Alex Pettyfer,3.00844
Timothy Olyphant,3.00271
Teresa Palmer,2.99976
Sullivan Stapleton,2.99635
Lena Headey,2.98846
Lucy Punch,2.98815
Eva Green,2.98537
Ian McShane,2.98427
Milla Jovovich,2.97948
Ioan Gruffudd,2.97937
Adam Sandler,2.96579
Nick Frost,2.96277
Matthew Macfadyen,2.9604
Jason Statham,2.95767
John Hurt,2.95509
Peter Sarsgaard,2.95447
Blake Lively,2.94909
Drew Barrymore,2.94726
Nikolaj Coster-Waldau,2.9451
Jim Carrey,2.9326
Douglas Smith,2.9274
Helen George,2.9204
Carla Gugino,2.91629
Michael Pe_a,2.91274
Angela Lansbury,2.90824
Byung-hun Lee,2.90603
Lottie Steer,2.90357
Paul Giamatti,2.90153
Lombardo Boyar,2.90133
John Turturro,2.89536
Alexandra Daddario,2.8916
Jeff Daniels,2.87603
Charlie Day,2.87405
Ashley Jensen,2.87185
Richard Roxburgh,2.87185
Jonathan Pryce,2.86966
Rhys Wakefield,2.86748
Carlinhos Brown,2.85377
John Leguizamo,2.84385
Jake T. Austin,2.84091
James Marsden,2.81618
Jennifer Garner,2.81465
Nicholas D'Agosto,2.79952
Brad Garrett,2.78855
Emma Bell,2.78617
Jason Patric,2.78576
Kristin Chenoweth,2.77512
Jai Courtney,2.76282
Christopher Knights,2.75508
