name,score
Drama,4.07066
Biography,3.99002
Mystery,3.95235
History,3.94933
Adventure,3.93905
Sci-Fi,3.91526
Thriller,3.91187
Action,3.82498
Comedy,3.78472
Sport,3.75134
Fantasy,3.74389
Crime,3.74232
Music,3.73174
Romance,3.70427
War,3.70214
Family,3.65085
Animation,3.63999
Musical,3.58858
Western,3.41319
Horror,3.40327
